Number of Iterations: 216
X Poses,Y Poses
Iteration 52,"[[-1.2693981613430114, -0.7452516830626225, -0.9825529956899075, 0.18520609866467053, -0.07309880700690563], [-0.33743992141117374, -0.48428162336000347, 0.4810643742624051, 0.34574571204866483, -0.34573465484566096]]"
Iteration 53,"[[-1.2692476404183433, -0.7412593912092791, -0.9817722753446612, 0.19178864764795583, -0.06727215914727533], [-0.33810328054079164, -0.48629103151745906, 0.4813901323732027, 0.34558697862683774, -0.34860833486419524]]"
Iteration 54,"[[-1.2691033365908821, -0.7372205194517061, -0.9809324906269189, 0.1983652534125174, -0.06143959124692688], [-0.33874981184351294, -0.4881160786741605, 0.4816673407836018, 0.3454209259477986, -0.3514711708431103]]"
Iteration 55,"[[-1.268897131455831, -0.7332060073777821, -0.9799997522671982, 0.20494351415420792, -0.055603082320911046], [-0.33942685959413244, -0.4900233627946255, 0.48186091075332904, 0.3452537696215652, -0.3543177753290861]]"
Iteration 56,"[[-1.2686479493134084, -0.7291181590066795, -0.9790462450552251, 0.2115290660454547, -0.04976541694293343], [-0.34004610869846474, -0.49191157248533113, 0.48208112702994704, 0.34509083968033777, -0.3571395179580562]]"
Iteration 57,"[[-1.2683771652184916, -0.725116527130111, -0.9780933073608283, 0.21811843852190674, -0.043923405175137535], [-0.3406924641888025, -0.49369800420679033, 0.4822443958287459, 0.34492985703333506, -0.3599429008807782]]"
Iteration 58,"[[-1.2680358143076493, -0.7211245402916379, -0.977084419342558, 0.22470763170497604, -0.03807795114805229], [-0.34132238773422136, -0.49538635186508667, 0.48239186522640765, 0.344767648027654, -0.3627245140228828]]"
Iteration 59,"[[-1.2677008688988411, -0.7171617547900395, -0.9760677529012826, 0.23129711576099465, -0.03222653407955237], [-0.341919864322256, -0.49706182691631134, 0.48253217105209856, 0.3446046216946851, -0.3654898149766235]]"
Iteration 60,"[[-1.2673458336006982, -0.7132373355151053, -0.9750494877673308, 0.2378883351436084, -0.026370868830816616], [-0.342537281246009, -0.4985708513546857, 0.4826252315830389, 0.3444421279219784, -0.3682338449815848]]"
Iteration 61,"[[-1.2669609273809823, -0.7093438482502007, -0.9740224257297485, 0.244483963974473, -0.02050951566118256], [-0.34313379844467784, -0.5000452486651003, 0.4827141253475215, 0.34428280538339395, -0.37095933257377645]]"
