Number of Iterations: 245
X Poses,Y Poses
Iteration 116,"[[1.222563504246639, 0.5854438552525628, 0.9043060894109769, -0.4092537404375093, -0.166216789172004], [0.30457092776320177, 0.5010095244840184, -0.5342635493792551, -0.34267358142351567, 0.4539160437627268]]"
Iteration 117,"[[1.2212464013863378, 0.5810251933079096, 0.9026628561990273, -0.4155961177446766, -0.1725118153853526], [0.3048060078987935, 0.5004603256413294, -0.5340481446507699, -0.3429600966511981, 0.4552336410251797]]"
Iteration 118,"[[1.2199656509099441, 0.5766565878001885, 0.9009912757205343, -0.4219477586416158, -0.1788077955154436], [0.30501923906576034, 0.49995612724304334, -0.5338251096279784, -0.34326750248283056, 0.45652582072145437]]"
Iteration 119,"[[1.2186580404307692, 0.5723214025033632, 0.8993842721612574, -0.42829663158281017, -0.18510785551681774], [0.3052781870848822, 0.4994453372177872, -0.5335863316038065, -0.34360566576275725, 0.45779677006701763]]"
Iteration 120,"[[1.2173180143280073, 0.5680144210009606, 0.8977487443508176, -0.4346565884628888, -0.19140860493967465], [0.30554918196726233, 0.49894677074454713, -0.5333334447184159, -0.34396198254931276, 0.45904147910519205]]"
Iteration 121,"[[1.21602277220713, 0.5637608708961176, 0.8961674248044993, -0.441020542508297, -0.19771590940538025], [0.30581189398664427, 0.498437032567487, -0.5330892837233667, -0.344341490899022, 0.4602681092866571]]"
Iteration 122,"[[1.2147226615146238, 0.5594550793349261, 0.8945174092259551, -0.44739227880475196, -0.20403020895077317], [0.30605895870951433, 0.4978455197782585, -0.5328316016533434, -0.34474015099654876, 0.4614778181930726]]"
Iteration 123,"[[1.21339365015654, 0.555168097358695, 0.8929247216933202, -0.4537729273589206, -0.21034913651771997], [0.3063328472541577, 0.49712068902435724, -0.5325762871865218, -0.3451559411280686, 0.4626677483252308]]"
Iteration 124,"[[1.212029763712361, 0.5508483671364268, 0.891239285318852, -0.460172370097928, -0.21667668606216017], [0.3065672029723103, 0.4962288270530747, -0.5323343002366048, -0.3455790483139741, 0.46384390632186817]]"
Iteration 125,"[[1.2107118600554059, 0.5465543566419365, 0.8895674083102543, -0.4665551054379784, -0.22299740003053065], [0.3067994195662091, 0.4954707805989828, -0.5320785336894727, -0.3460383844413683, 0.464984910113733]]"
